chapter,section,article,content,links,coverage
Chapter I: General Provisions,,Article 1,Subject matter,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-1,all-obligations
Chapter I: General Provisions,,Article 2,Scope,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-2,all-obligations
Chapter I: General Provisions,,Article 3,Definitions,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-3,all-obligations
Chapter I: General Provisions,,Article 4,AI literacy,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-4,all-obligations
Chapter II: Prohibited AI Practices,,Article 5,Prohibited AI practices,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-5,all-obligations
Chapter III: High-Risk AI Systems,Section 1: Classification of AI Systems as High-Risk,Article 6,Classification rules for high-risk AI systems,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-6,all-obligations
Chapter III: High-Risk AI Systems,Section 1: Classification of AI Systems as High-Risk,Article 7,Amendments to Annex III,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-7,all-obligations
Chapter III: High-Risk AI Systems,Section 2: Requirements for High-Risk AI Systems,Article 8,Compliance with the requirements,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-8,all-obligations
Chapter III: High-Risk AI Systems,Section 2: Requirements for High-Risk AI Systems,Article 9,Risk management system,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-9,all-obligations
Chapter III: High-Risk AI Systems,Section 2: Requirements for High-Risk AI Systems,Article 10,Data and data governance,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-10,all-obligations
Chapter III: High-Risk AI Systems,Section 2: Requirements for High-Risk AI Systems,Article 11,Technical documentation,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-11,all-obligations
Chapter III: High-Risk AI Systems,Section 2: Requirements for High-Risk AI Systems,Article 12,Record-keeping,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-12,all-obligations
Chapter III: High-Risk AI Systems,Section 2: Requirements for High-Risk AI Systems,Article 13,Transparency and provision of information to deployers,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-13,all-obligations
Chapter III: High-Risk AI Systems,Section 2: Requirements for High-Risk AI Systems,Article 14,Human oversight,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-14,all-obligations
Chapter III: High-Risk AI Systems,Section 2: Requirements for High-Risk AI Systems,Article 15,"Accuracy, robustness and cybersecurity",https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-15,all-obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 16,Obligations of providers of high-risk AI systems,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-16,all-obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 17,Quality management system,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-17,all-obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 18,Documentation keeping,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-18,all-obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 19,Automatically generated logs,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-19,all-obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 20,Corrective actions and duty of information,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-20,all-obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 21,Cooperation with competent authorities,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-21,all-obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 22,Authorised representatives of providers of high-risk AI systems,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-22,all-obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 23,Obligations of importers,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-23,all-obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 24,Obligations of distributors,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-24,all-obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 25,Responsibilities along the AI value chain,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-25,all-obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 26,Obligations of deployers of high-risk AI systems,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-26,all-obligations
Chapter III: High-Risk AI Systems,Section 3: Obligations of Providers and Deployers of High-Risk AI Systems and Other Parties,Article 27,Fundamental rights impact assessment for high-risk AI systems,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-27,all-obligations
Chapter III: High-Risk AI Systems,Section 4: Notifying Authorities and Notified Bodies,Article 28,Notifying authorities,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-28,all-obligations
Chapter III: High-Risk AI Systems,Section 4: Notifying Authorities and Notified Bodies,Article 29,Application of a conformity assessment body for notification,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-29,all-obligations
Chapter III: High-Risk AI Systems,Section 4: Notifying Authorities and Notified Bodies,Article 30,Notification procedure,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-30,all-obligations
Chapter III: High-Risk AI Systems,Section 4: Notifying Authorities and Notified Bodies,Article 31,Requirements relating to notified bodies,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-31,all-obligations
Chapter III: High-Risk AI Systems,Section 4: Notifying Authorities and Notified Bodies,Article 32,Presumption of conformity with requirements relating to notified bodies,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-32,all-obligations
Chapter III: High-Risk AI Systems,Section 4: Notifying Authorities and Notified Bodies,Article 33,Subsidiaries of notified bodies and subcontracting,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-33,all-obligations
Chapter III: High-Risk AI Systems,Section 4: Notifying Authorities and Notified Bodies,Article 34,Operational obligations of notified bodies,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-34,all-obligations
Chapter III: High-Risk AI Systems,Section 4: Notifying Authorities and Notified Bodies,Article 35,Identification numbers and lists of notified bodies,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-35,all-obligations
Chapter III: High-Risk AI Systems,Section 4: Notifying Authorities and Notified Bodies,Article 36,Changes to notifications,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-36,all-obligations
Chapter III: High-Risk AI Systems,Section 4: Notifying Authorities and Notified Bodies,Article 37,Challenge to the competence of notified bodies,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-37,all-obligations
Chapter III: High-Risk AI Systems,Section 4: Notifying Authorities and Notified Bodies,Article 38,Coordination of notified bodies,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-38,all-obligations
Chapter III: High-Risk AI Systems,Section 4: Notifying Authorities and Notified Bodies,Article 39,Conformity assessment bodies of third countries,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-39,all-obligations
Chapter III: High-Risk AI Systems,"Section 5: Standards, Conformity Assessment, Certificates, Registration",Article 40,Harmonised standards and standardisation deliverables,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-40,all-obligations
Chapter III: High-Risk AI Systems,"Section 5: Standards, Conformity Assessment, Certificates, Registration",Article 41,Common specifications,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-41,all-obligations
Chapter III: High-Risk AI Systems,"Section 5: Standards, Conformity Assessment, Certificates, Registration",Article 42,Presumption of conformity with certain requirements,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-42,all-obligations
Chapter III: High-Risk AI Systems,"Section 5: Standards, Conformity Assessment, Certificates, Registration",Article 43,Conformity assessment,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-43,all-obligations
Chapter III: High-Risk AI Systems,"Section 5: Standards, Conformity Assessment, Certificates, Registration",Article 44,Certificates,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-44,all-obligations
Chapter III: High-Risk AI Systems,"Section 5: Standards, Conformity Assessment, Certificates, Registration",Article 45,Information obligations of notified bodies,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-45,all-obligations
Chapter III: High-Risk AI Systems,"Section 5: Standards, Conformity Assessment, Certificates, Registration",Article 46,Derogation from conformity assessment procedure,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-46,all-obligations
Chapter III: High-Risk AI Systems,"Section 5: Standards, Conformity Assessment, Certificates, Registration",Article 47,EU declaration of conformity,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-47,all-obligations
Chapter III: High-Risk AI Systems,"Section 5: Standards, Conformity Assessment, Certificates, Registration",Article 48,CE marking,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-48,all-obligations
Chapter III: High-Risk AI Systems,"Section 5: Standards, Conformity Assessment, Certificates, Registration",Article 49,Registration,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-49,all-obligations
Chapter IV: Transparency Obligations for Providers and Deployers of Certain AI Systems,,Article 50,Transparency obligations for providers and deployers of certain AI systems,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-50,all-obligations
Chapter V: General-Purpose AI Models,Section 1: Classification Rules,Article 51,Classification of general-purpose AI models as general-purpose AI models with systemic risk,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-51,all-obligations
Chapter V: General-Purpose AI Models,Section 1: Classification Rules,Article 52,Procedure,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-52,all-obligations
Chapter V: General-Purpose AI Models,Section 2: Obligations for Providers of General-Purpose AI Models,Article 53,Obligations for providers of general-purpose AI models,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-53,all-obligations
Chapter V: General-Purpose AI Models,Section 2: Obligations for Providers of General-Purpose AI Models,Article 54,Authorised representatives of providers of general-purpose AI models,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-54,all-obligations
Chapter V: General-Purpose AI Models,Section 3: Obligations of Providers of General-Purpose AI Models with Systemic Risk,Article 55,Obligations of providers of general-purpose AI models with systemic risk,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-55,all-obligations
Chapter V: General-Purpose AI Models,Section 4: Codes of Practice,Article 56,Codes of practice,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-56,all-obligations
Chapter VI: Measures in Support of Innovation,,Article 57,AI regulatory sandboxes,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-57,all-obligations
Chapter VI: Measures in Support of Innovation,,Article 58,"Detailed arrangements for, and functioning of, AI regulatory sandboxes",https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-58,all-obligations
Chapter VI: Measures in Support of Innovation,,Article 59,Further processing of personal data for developing certain AI systems in the public interest in the AI regulatory sandbox,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-59,all-obligations
Chapter VI: Measures in Support of Innovation,,Article 60,Testing of high-risk AI systems in real world conditions outside AI regulatory sandboxes,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-60,all-obligations
Chapter VI: Measures in Support of Innovation,,Article 61,Informed consent to participate in testing in real world conditions outside AI regulatory sandboxes,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-61,all-obligations
Chapter VI: Measures in Support of Innovation,,Article 62,"Measures for providers and deployers, in particular SMEs, including start-ups",https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-62,all-obligations
Chapter VI: Measures in Support of Innovation,,Article 63,Derogations for specific operators,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-63,all-obligations
Chapter VII: Governance,Section 1: Governance at Union Level,Article 64,AI Office,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-64,all-obligations
Chapter VII: Governance,Section 1: Governance at Union Level,Article 65,Establishment and structure of the European Artificial Intelligence Board,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-65,all-obligations
Chapter VII: Governance,Section 1: Governance at Union Level,Article 66,Tasks of the Board,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-66,all-obligations
Chapter VII: Governance,Section 1: Governance at Union Level,Article 67,Advisory forum,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-67,all-obligations
Chapter VII: Governance,Section 1: Governance at Union Level,Article 68,Scientific panel of independent experts,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-68,all-obligations
Chapter VII: Governance,Section 1: Governance at Union Level,Article 69,Access to the pool of experts by the Member States,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-69,all-obligations
Chapter VII: Governance,Section 2: National competent authorities,Article 70,Designation of national competent authorities and a single point of contact,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-70,all-obligations
Chapter VIII: EU Database for High-Risk AI Systems,,Article 71,EU database for high-risk AI systems listed in Annex III,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-71,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance",Section 1: Post-Market Monitoring,Article 72,Post-market monitoring by providers and post-market monitoring plan for high-risk AI systems,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-72,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance",Section 2: Sharing of Information on Serious Incidents,Article 73,Reporting of serious incidents,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-73,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance",Section 3: Enforcement,Article 74,Market surveillance and control of AI systems in the Union market,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-74,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance",Section 3: Enforcement,Article 75,"Mutual assistance, market surveillance and control of general-purpose AI systems",https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-75,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance",Section 3: Enforcement,Article 76,Supervision of testing in real world conditions by market surveillance authorities,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-76,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance",Section 3: Enforcement,Article 77,Powers of authorities protecting fundamental rights,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-77,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance",Section 3: Enforcement,Article 78,Confidentiality,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-78,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance",Section 3: Enforcement,Article 79,Procedure at national level for dealing with AI systems presenting a risk,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-79,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance",Section 3: Enforcement,Article 80,Procedure for dealing with AI systems classified by the provider as non-high-risk in application of Annex III,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-80,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance",Section 3: Enforcement,Article 81,Union safeguard procedure,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-81,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance",Section 3: Enforcement,Article 82,Compliant AI systems which present a risk,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-82,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance",Section 3: Enforcement,Article 83,Formal non-compliance,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-83,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance",Section 3: Enforcement,Article 84,Union AI testing support structures,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-84,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance",Section 4: Remedies,Article 85,Right to lodge a complaint with a market surveillance authority,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-85,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance",Section 4: Remedies,Article 86,Right to explanation of individual decision-making,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-86,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance",Section 4: Remedies,Article 87,Reporting of infringements and protection of reporting persons,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-87,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance","Section 5: Supervision, Investigation, Enforcement and Monitoring in Respect of Providers of General-Purpose AI Models",Article 88,Enforcement of the obligations of providers of general-purpose AI models,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-88,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance","Section 5: Supervision, Investigation, Enforcement and Monitoring in Respect of Providers of General-Purpose AI Models",Article 89,Monitoring actions,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-89,all-obligations
"Chapter IX: Post-Market Monitoring, Information Sharing and Market Surveillance","Section 5: Supervision, Investigation, Enforcement and Monitoring in Respect of Providers of General-Purpose AI Models",Article 90,Alerts of systemic risks by the scientific panel,https://ai-act-service-desk.ec.europa.eu/en/ai-act/article-90,all-obligations
